Inst_salud;Domicilio;Otro;Sin_informacion;total;Ano;id_regimen_Regimen;id_area_Area_Regimen
155;0;0;0;155;2014;esp;14
102;1;0;0;103;2014;esp;22
107;0;0;0;107;2014;esp;20
224;0;0;0;224;2014;esp;3
552;1;1;0;554;2014;esp;9
157;0;0;0;157;2014;esp;8
406;0;0;0;406;2014;esp;7
408;0;0;0;408;2014;esp;17
47;0;0;0;47;2014;esp;2
78;0;0;0;78;2014;esp;19
59;0;0;0;59;2014;esp;11
46;0;0;0;46;2014;esp;1
115;0;0;0;115;2014;esp;12
28;0;0;0;28;2014;esp;10
162;0;0;0;162;2014;esp;13
224;1;0;0;225;2014;esp;5
1;0;0;0;1;2014;esp;18
1;0;0;0;1;2014;esp;16
3145;3;1;0;3149;2014;esp;6
161;0;0;0;161;2015;esp;21
34;0;0;0;34;2015;esp;4
37;0;0;0;37;2015;esp;15
152;0;0;0;152;2015;esp;14
132;0;0;0;132;2015;esp;22
127;0;0;0;127;2015;esp;20
212;0;0;0;212;2015;esp;3
556;0;0;0;556;2015;esp;9
156;0;0;0;156;2015;esp;8
313;0;0;0;313;2015;esp;7
407;0;1;0;408;2015;esp;17
38;0;0;0;38;2015;esp;2
62;0;0;0;62;2015;esp;19
25;1;0;0;26;2015;esp;11
35;0;0;0;35;2015;esp;1
119;0;0;0;119;2015;esp;12
11;0;0;0;11;2015;esp;10
151;1;0;0;152;2015;esp;13
215;1;0;0;216;2015;esp;5
1;0;0;0;1;2015;esp;18
1;0;0;0;1;2015;esp;16
2945;3;1;0;2949;2015;esp;6
165;0;0;0;165;2016;esp;21
64;0;0;0;64;2016;esp;4
41;0;0;0;41;2016;esp;15
139;0;0;0;139;2016;esp;14
107;0;0;0;107;2016;esp;22
114;0;1;0;115;2016;esp;20
212;0;0;0;212;2016;esp;3
467;0;0;0;467;2016;esp;9
135;0;0;0;135;2016;esp;8
320;1;0;0;321;2016;esp;7
344;1;0;0;345;2016;esp;17
52;0;0;0;52;2016;esp;2
42;0;0;0;42;2016;esp;19
42;0;0;0;42;2016;esp;11
36;0;0;0;36;2016;esp;1
117;0;0;0;117;2016;esp;12
5;0;0;0;5;2016;esp;10
140;0;0;0;140;2016;esp;13
197;0;0;0;197;2016;esp;5
0;0;0;0;0;2016;esp;18
0;0;0;0;0;2016;esp;16
2739;2;1;0;2742;2016;esp;6
136;0;0;0;136;2017;esp;21
45;0;0;0;45;2017;esp;4
40;0;0;0;40;2017;esp;15
132;1;0;0;133;2017;esp;14
111;1;0;0;112;2017;esp;22
115;0;0;0;115;2017;esp;20
210;0;0;0;210;2017;esp;3
430;1;0;0;431;2017;esp;9
143;0;0;0;143;2017;esp;8
234;0;0;0;234;2017;esp;7
282;1;0;0;283;2017;esp;17
39;0;0;0;39;2017;esp;2
47;0;0;0;47;2017;esp;19
37;0;0;0;37;2017;esp;11
30;0;0;0;30;2017;esp;1
111;0;0;0;111;2017;esp;12
14;0;0;0;14;2017;esp;10
126;0;0;0;126;2017;esp;13
183;0;0;0;183;2017;esp;5
1;0;0;0;1;2017;esp;18
2;0;0;0;2;2017;esp;16
2468;4;0;0;2472;2017;esp;6
118;0;0;0;118;2018;esp;21
43;0;0;0;43;2018;esp;4
36;0;0;0;36;2018;esp;15
75;0;0;0;75;2018;esp;14
95;0;0;0;95;2018;esp;22
88;0;0;0;88;2018;esp;20
176;2;0;0;178;2018;esp;3
346;0;0;0;346;2018;esp;9
129;0;0;0;129;2018;esp;8
232;0;0;0;232;2018;esp;7
260;0;0;0;260;2018;esp;17
35;0;0;0;35;2018;esp;2
48;1;0;0;49;2018;esp;19
38;1;0;0;39;2018;esp;11
29;0;0;0;29;2018;esp;1
114;0;0;0;114;2018;esp;12
8;0;0;0;8;2018;esp;10
98;0;0;0;98;2018;esp;13
169;0;0;0;169;2018;esp;5
0;0;0;0;0;2018;esp;18
1;0;0;0;1;2018;esp;16
2138;4;0;0;2142;2018;esp;6
620;2;0;0;622;2008;nas;21
173;0;0;0;173;2008;nas;4
354;5;2;0;361;2008;nas;15
1108;11;0;2;1121;2008;nas;14
987;6;1;0;994;2008;nas;22
606;2;1;0;609;2008;nas;20
2041;4;2;0;2047;2008;nas;3
2374;9;3;1;2387;2008;nas;9
567;2;1;0;570;2008;nas;8
1670;3;2;1;1676;2008;nas;7
2457;13;3;0;2473;2008;nas;17
220;1;1;0;222;2008;nas;2
83;1;1;0;85;2008;nas;19
335;4;1;0;340;2008;nas;11
218;1;0;0;219;2008;nas;1
369;1;0;0;370;2008;nas;12
46;1;0;0;47;2008;nas;10
1216;3;1;0;1220;2008;nas;13
