cesarea;espontaneo;instrumentado;sin_informacion;total ;ano;id_regimen_regimen;id_area_area_regimen
456;445;23;0;924;2014;con;15
467;426;26;0;919;2015;con;15
339;458;18;0;815;2016;con;15
448;542;9;0;999;2017;con;15
369;485;21;0;875;2018;con;15
14;31;1;1;47;2008;esp;15
19;20;7;0;46;2009;esp;15
21;24;3;0;48;2010;esp;15
11;14;2;0;27;2011;esp;15
12;23;0;0;35;2012;esp;15
25;29;2;0;56;2013;esp;15
39;27;1;0;67;2014;esp;15
21;15;1;0;37;2015;esp;15
19;20;2;0;41;2016;esp;15
18;21;1;0;40;2017;esp;15
23;13;0;0;36;2018;esp;15
104;247;8;2;361;2008;nas;15
94;220;9;0;323;2009;nas;15
52;172;3;0;227;2010;nas;15
64;149;3;0;216;2011;nas;15
47;149;2;0;198;2012;nas;15
59;131;2;0;192;2013;nas;15
42;86;2;0;130;2014;nas;15
17;54;0;0;71;2015;nas;15
28;40;2;0;70;2016;nas;15
33;40;4;0;77;2017;nas;15
69;128;1;0;198;2018;nas;15
55;109;4;0;168;2008;sub;16
47;73;1;0;121;2009;sub;16
77;231;0;0;308;2010;sub;16
13;18;0;0;31;2011;sub;16
7;6;1;0;14;2012;sub;16
8;16;0;0;24;2013;sub;16
22;42;0;0;64;2014;sub;16
36;75;0;0;111;2015;sub;16
49;108;1;0;158;2016;sub;16
16;31;0;0;47;2017;sub;16
32;27;0;0;59;2018;sub;16
152;240;14;3;409;2008;con;16
125;150;12;0;287;2009;con;16
71;102;8;0;181;2010;con;16
31;31;1;0;63;2011;con;16
4;7;1;0;12;2012;con;16
8;7;1;0;16;2013;con;16
15;24;1;0;40;2014;con;16
100;117;9;0;226;2015;con;16
138;241;12;0;391;2016;con;16
52;78;3;0;133;2017;con;16
85;108;0;0;193;2018;con;16
13;19;0;0;32;2008;esp;16
14;16;0;0;30;2009;esp;16
3;2;0;0;5;2010;esp;16
1;5;0;0;6;2011;esp;16
0;3;0;0;3;2012;esp;16
0;0;0;0;0;2013;esp;16
0;1;0;0;1;2014;esp;16
0;1;0;0;1;2015;esp;16
0;0;0;0;0;2016;esp;16
2;0;0;0;2;2017;esp;16
1;0;0;0;1;2018;esp;16
35;87;4;0;126;2008;nas;16
41;75;1;0;117;2009;nas;16
29;110;0;1;140;2010;nas;16
7;10;0;0;17;2011;nas;16
4;9;1;0;14;2012;nas;16
5;16;1;1;23;2013;nas;16
25;51;3;0;79;2014;nas;16
30;50;0;1;81;2015;nas;16
64;91;0;0;155;2016;nas;16
8;10;0;0;18;2017;nas;16
10;16;2;0;28;2018;nas;16
456;1119;45;4;1624;2008;sub;17
541;1307;26;1;1875;2009;sub;17
367;1005;23;0;1395;2010;sub;17
476;999;38;0;1513;2011;sub;17
545;1054;43;1;1643;2012;sub;17
513;946;19;1;1479;2013;sub;17
430;960;19;0;1409;2014;sub;17
472;1015;18;0;1505;2015;sub;17
330;735;16;0;1081;2016;sub;17
557;924;10;0;1491;2017;sub;17
541;963;14;0;1518;2018;sub;17
4561;5957;569;43;11130;2008;con;17
4783;5612;561;67;11023;2009;con;17
4571;5508;532;17;10628;2010;con;17
4992;5382;553;2;10929;2011;con;17
5023;5477;495;0;10995;2012;con;17
5298;5457;449;0;11204;2013;con;17
5474;5670;420;0;11564;2014;con;17
5655;5870;384;0;11909;2015;con;17
5536;5352;378;0;11266;2016;con;17
5107;5617;384;0;11108;2017;con;17
4737;4934;320;0;9991;2018;con;17
165;210;24;4;403;2008;esp;17
163;226;31;7;427;2009;esp;17
164;237;19;5;425;2010;esp;17
189;209;22;0;420;2011;esp;17
157;196;26;0;379;2012;esp;17
196;203;17;0;416;2013;esp;17
214;172;22;0;408;2014;esp;17
199;190;19;0;408;2015;esp;17
194;138;13;0;345;2016;esp;17
145;127;11;0;283;2017;esp;17
128;125;7;0;260;2018;esp;17
743;1660;67;3;2473;2008;nas;17
